"Site","SamplingUnits","Species","Incidence"
"h50m",599,"Species_1",330
"h50m",599,"Species_2",263
"h50m",599,"Species_3",236
"h50m",599,"Species_4",222
"h50m",599,"Species_5",195
"h50m",599,"Species_6",186
"h50m",599,"Species_7",183
"h50m",599,"Species_8",182
"h50m",599,"Species_9",129
"h50m",599,"Species_10",129
"h50m",599,"Species_11",128
"h50m",599,"Species_12",127
"h50m",599,"Species_13",126
"h50m",599,"Species_14",124
"h50m",599,"Species_15",113
"h50m",599,"Species_16",106
"h50m",599,"Species_17",98
"h50m",599,"Species_18",98
"h50m",599,"Species_19",97
"h50m",599,"Species_20",95
"h50m",599,"Species_21",91
"h50m",599,"Species_22",86
"h50m",599,"Species_23",84
"h50m",599,"Species_24",83
"h50m",599,"Species_25",82
"h50m",599,"Species_26",79
"h50m",599,"Species_27",77
"h50m",599,"Species_28",72
"h50m",599,"Species_29",69
"h50m",599,"Species_30",65
"h50m",599,"Species_31",61
"h50m",599,"Species_32",61
"h50m",599,"Species_33",58
"h50m",599,"Species_34",58
"h50m",599,"Species_35",56
"h50m",599,"Species_36",56
"h50m",599,"Species_37",52
"h50m",599,"Species_38",52
"h50m",599,"Species_39",51
"h50m",599,"Species_40",48
"h50m",599,"Species_41",47
"h50m",599,"Species_42",46
"h50m",599,"Species_43",46
"h50m",599,"Species_44",43
"h50m",599,"Species_45",40
"h50m",599,"Species_46",39
"h50m",599,"Species_47",33
"h50m",599,"Species_48",31
"h50m",599,"Species_49",30
"h50m",599,"Species_50",30
"h50m",599,"Species_51",29
"h50m",599,"Species_52",27
"h50m",599,"Species_53",27
"h50m",599,"Species_54",25
"h50m",599,"Species_55",23
"h50m",599,"Species_56",23
"h50m",599,"Species_57",22
"h50m",599,"Species_58",21
"h50m",599,"Species_59",20
"h50m",599,"Species_60",20
"h50m",599,"Species_61",20
"h50m",599,"Species_62",19
"h50m",599,"Species_63",19
"h50m",599,"Species_64",18
"h50m",599,"Species_65",18
"h50m",599,"Species_66",17
"h50m",599,"Species_67",17
"h50m",599,"Species_68",17
"h50m",599,"Species_69",16
"h50m",599,"Species_70",16
"h50m",599,"Species_71",16
"h50m",599,"Species_72",16
"h50m",599,"Species_73",15
"h50m",599,"Species_74",15
"h50m",599,"Species_75",14
"h50m",599,"Species_76",14
"h50m",599,"Species_77",14
"h50m",599,"Species_78",14
"h50m",599,"Species_79",14
"h50m",599,"Species_80",13
"h50m",599,"Species_81",13
"h50m",599,"Species_82",12
"h50m",599,"Species_83",12
"h50m",599,"Species_84",11
"h50m",599,"Species_85",10
"h50m",599,"Species_86",10
"h50m",599,"Species_87",9
"h50m",599,"Species_88",9
"h50m",599,"Species_89",9
"h50m",599,"Species_90",9
"h50m",599,"Species_91",9
"h50m",599,"Species_92",9
"h50m",599,"Species_93",8
"h50m",599,"Species_94",8
"h50m",599,"Species_95",8
"h50m",599,"Species_96",8
"h50m",599,"Species_97",8
"h50m",599,"Species_98",8
"h50m",599,"Species_99",8
"h50m",599,"Species_100",8
"h50m",599,"Species_101",7
"h50m",599,"Species_102",7
"h50m",599,"Species_103",7
"h50m",599,"Species_104",7
"h50m",599,"Species_105",6
"h50m",599,"Species_106",6
"h50m",599,"Species_107",6
"h50m",599,"Species_108",6
"h50m",599,"Species_109",6
"h50m",599,"Species_110",6
"h50m",599,"Species_111",6
"h50m",599,"Species_112",6
"h50m",599,"Species_113",6
"h50m",599,"Species_114",6
"h50m",599,"Species_115",5
"h50m",599,"Species_116",5
"h50m",599,"Species_117",5
"h50m",599,"Species_118",5
"h50m",599,"Species_119",5
"h50m",599,"Species_120",5
"h50m",599,"Species_121",5
"h50m",599,"Species_122",5
"h50m",599,"Species_123",5
"h50m",599,"Species_124",4
"h50m",599,"Species_125",4
"h50m",599,"Species_126",4
"h50m",599,"Species_127",4
"h50m",599,"Species_128",4
"h50m",599,"Species_129",4
"h50m",599,"Species_130",4
"h50m",599,"Species_131",4
"h50m",599,"Species_132",4
"h50m",599,"Species_133",4
"h50m",599,"Species_134",4
"h50m",599,"Species_135",4
"h50m",599,"Species_136",4
"h50m",599,"Species_137",4
"h50m",599,"Species_138",3
"h50m",599,"Species_139",3
"h50m",599,"Species_140",3
"h50m",599,"Species_141",3
"h50m",599,"Species_142",3
"h50m",599,"Species_143",3
"h50m",599,"Species_144",3
"h50m",599,"Species_145",3
"h50m",599,"Species_146",3
"h50m",599,"Species_147",3
"h50m",599,"Species_148",3
"h50m",599,"Species_149",3
"h50m",599,"Species_150",3
"h50m",599,"Species_151",3
"h50m",599,"Species_152",3
"h50m",599,"Species_153",3
"h50m",599,"Species_154",3
"h50m",599,"Species_155",3
"h50m",599,"Species_156",2
"h50m",599,"Species_157",2
"h50m",599,"Species_158",2
"h50m",599,"Species_159",2
"h50m",599,"Species_160",2
"h50m",599,"Species_161",2
"h50m",599,"Species_162",2
"h50m",599,"Species_163",2
"h50m",599,"Species_164",2
"h50m",599,"Species_165",2
"h50m",599,"Species_166",2
"h50m",599,"Species_167",2
"h50m",599,"Species_168",2
"h50m",599,"Species_169",2
"h50m",599,"Species_170",2
"h50m",599,"Species_171",2
"h50m",599,"Species_172",2
"h50m",599,"Species_173",2
"h50m",599,"Species_174",2
"h50m",599,"Species_175",2
"h50m",599,"Species_176",2
"h50m",599,"Species_177",2
"h50m",599,"Species_178",2
"h50m",599,"Species_179",1
"h50m",599,"Species_180",1
"h50m",599,"Species_181",1
"h50m",599,"Species_182",1
"h50m",599,"Species_183",1
"h50m",599,"Species_184",1
"h50m",599,"Species_185",1
"h50m",599,"Species_186",1
"h50m",599,"Species_187",1
"h50m",599,"Species_188",1
"h50m",599,"Species_189",1
"h50m",599,"Species_190",1
"h50m",599,"Species_191",1
