"Species","SamplingUnits.h50m","Incidence.h50m","SamplingUnits.h500m","Incidence.h500m","SamplingUnits.h1070m","Incidence.h1070m","SamplingUnits.h1500m","Incidence.h1500m","SamplingUnits.h2000m","Incidence.h2000m"
"Species_1",599,330,230,133,150,99,200,144,200,80
"Species_2",599,263,230,131,150,96,200,113,200,59
"Species_3",599,236,230,123,150,80,200,79,200,34
"Species_4",599,222,230,78,150,74,200,76,200,23
"Species_5",599,195,230,73,150,68,200,74,200,19
"Species_6",599,186,230,65,150,60,200,73,200,15
"Species_7",599,183,230,60,150,54,200,53,200,13
"Species_8",599,182,230,60,150,46,200,50,200,8
"Species_9",599,129,230,56,150,45,200,43,200,8
"Species_10",599,129,230,54,150,45,200,33,200,4
"Species_11",599,128,230,53,150,43,200,32,200,3
"Species_12",599,127,230,52,150,43,200,30,200,2
"Species_13",599,126,230,52,150,39,200,29,200,2
"Species_14",599,124,230,49,150,38,200,25,200,1
"Species_15",599,113,230,47,150,36,200,25,NA,NA
"Species_16",599,106,230,46,150,34,200,25,NA,NA
"Species_17",599,98,230,45,150,32,200,24,NA,NA
"Species_18",599,98,230,44,150,31,200,23,NA,NA
"Species_19",599,97,230,43,150,31,200,23,NA,NA
"Species_20",599,95,230,42,150,31,200,19,NA,NA
"Species_21",599,91,230,41,150,30,200,18,NA,NA
"Species_22",599,86,230,39,150,26,200,17,NA,NA
"Species_23",599,84,230,39,150,25,200,17,NA,NA
"Species_24",599,83,230,38,150,25,200,11,NA,NA
"Species_25",599,82,230,38,150,25,200,11,NA,NA
"Species_26",599,79,230,38,150,24,200,9,NA,NA
"Species_27",599,77,230,38,150,23,200,9,NA,NA
"Species_28",599,72,230,37,150,22,200,9,NA,NA
"Species_29",599,69,230,36,150,21,200,9,NA,NA
"Species_30",599,65,230,34,150,19,200,6,NA,NA
"Species_31",599,61,230,33,150,19,200,6,NA,NA
"Species_32",599,61,230,32,150,18,200,5,NA,NA
"Species_33",599,58,230,32,150,16,200,5,NA,NA
"Species_34",599,58,230,31,150,16,200,5,NA,NA
"Species_35",599,56,230,31,150,16,200,5,NA,NA
"Species_36",599,56,230,30,150,16,200,4,NA,NA
"Species_37",599,52,230,27,150,15,200,4,NA,NA
"Species_38",599,52,230,26,150,14,200,3,NA,NA
"Species_39",599,51,230,25,150,13,200,3,NA,NA
"Species_40",599,48,230,25,150,13,200,2,NA,NA
"Species_41",599,47,230,25,150,13,200,2,NA,NA
"Species_42",599,46,230,24,150,13,200,2,NA,NA
"Species_43",599,46,230,23,150,12,200,2,NA,NA
"Species_44",599,43,230,21,150,12,200,1,NA,NA
"Species_45",599,40,230,21,150,12,200,1,NA,NA
"Species_46",599,39,230,20,150,11,200,1,NA,NA
"Species_47",599,33,230,19,150,11,200,1,NA,NA
"Species_48",599,31,230,18,150,11,200,1,NA,NA
"Species_49",599,30,230,17,150,11,200,1,NA,NA
"Species_50",599,30,230,17,150,10,200,1,NA,NA
"Species_51",599,29,230,17,150,9,200,1,NA,NA
"Species_52",599,27,230,17,150,8,200,1,NA,NA
"Species_53",599,27,230,16,150,7,200,1,NA,NA
"Species_54",599,25,230,16,150,7,200,1,NA,NA
"Species_55",599,23,230,15,150,7,200,1,NA,NA
"Species_56",599,23,230,14,150,7,200,1,NA,NA
"Species_57",599,22,230,14,150,7,NA,NA,NA,NA
"Species_58",599,21,230,13,150,7,NA,NA,NA,NA
"Species_59",599,20,230,13,150,6,NA,NA,NA,NA
"Species_60",599,20,230,13,150,6,NA,NA,NA,NA
"Species_61",599,20,230,13,150,6,NA,NA,NA,NA
"Species_62",599,19,230,12,150,5,NA,NA,NA,NA
"Species_63",599,19,230,12,150,4,NA,NA,NA,NA
"Species_64",599,18,230,12,150,4,NA,NA,NA,NA
"Species_65",599,18,230,11,150,4,NA,NA,NA,NA
"Species_66",599,17,230,11,150,3,NA,NA,NA,NA
"Species_67",599,17,230,10,150,3,NA,NA,NA,NA
"Species_68",599,17,230,10,150,3,NA,NA,NA,NA
"Species_69",599,16,230,10,150,3,NA,NA,NA,NA
"Species_70",599,16,230,10,150,3,NA,NA,NA,NA
"Species_71",599,16,230,10,150,3,NA,NA,NA,NA
"Species_72",599,16,230,9,150,3,NA,NA,NA,NA
"Species_73",599,15,230,9,150,3,NA,NA,NA,NA
"Species_74",599,15,230,9,150,3,NA,NA,NA,NA
"Species_75",599,14,230,9,150,3,NA,NA,NA,NA
"Species_76",599,14,230,9,150,3,NA,NA,NA,NA
"Species_77",599,14,230,9,150,3,NA,NA,NA,NA
"Species_78",599,14,230,9,150,3,NA,NA,NA,NA
"Species_79",599,14,230,8,150,2,NA,NA,NA,NA
"Species_80",599,13,230,8,150,2,NA,NA,NA,NA
"Species_81",599,13,230,8,150,2,NA,NA,NA,NA
"Species_82",599,12,230,8,150,2,NA,NA,NA,NA
"Species_83",599,12,230,7,150,2,NA,NA,NA,NA
"Species_84",599,11,230,7,150,2,NA,NA,NA,NA
"Species_85",599,10,230,7,150,2,NA,NA,NA,NA
"Species_86",599,10,230,7,150,2,NA,NA,NA,NA
"Species_87",599,9,230,7,150,2,NA,NA,NA,NA
"Species_88",599,9,230,7,150,2,NA,NA,NA,NA
