"Site","A1","Moisture","Management","Use","Manure"
"Site_1",2.8,"1","SF","Haypastu","4"
"Site_2",3.5,"1","BF","Haypastu","2"
"Site_3",4.3,"2","SF","Haypastu","4"
"Site_4",4.2,"2","SF","Haypastu","4"
"Site_5",6.3,"1","HF","Hayfield","2"
"Site_6",4.3,"1","HF","Haypastu","2"
"Site_7",2.8,"1","HF","Pasture","3"
"Site_8",4.2,"5","HF","Pasture","3"
"Site_9",3.7,"4","HF","Hayfield","1"
"Site_10",3.3,"2","BF","Hayfield","1"
"Site_11",3.5,"1","BF","Pasture","1"
"Site_12",5.8,"4","SF","Haypastu","2"
"Site_13",6,"5","SF","Haypastu","3"
"Site_14",9.3,"5","NM","Pasture","0"
"Site_15",11.5,"5","NM","Haypastu","0"
"Site_16",5.7,"5","SF","Pasture","3"
"Site_17",4,"2","NM","Hayfield","0"
"Site_18",4.6,"1","NM","Hayfield","0"
"Site_19",3.7,"5","NM","Hayfield","0"
"Site_20",3.5,"5","NM","Hayfield","0"
